kyc_verified,account_age_days,transaction_amount,channel,is_fraud,transaction_type,location,currency,avg_transaction_amount,failed_login_attempts,multi_device_login,velocity_check,hour,weekday,is_high_value,day,day_of_week,month,log_amount,cust_txn_count,cust_avg_amount,cust_max_amount,cust_min_amount
Yes,2229,5062.0,2,0,0,0,0,84978,5,0,9,10,0,0,11,0,8,8.529714471969909,26,149539.53846153847,461205.0,2706.0
Yes,2920,4677.0,0,0,0,0,0,123037,5,0,5,12,4,0,22,4,8,8.450625947144124,14,88849.85714285714,362098.0,3869.0
Yes,1669,5160.0,1,0,0,0,0,150003,0,0,6,10,0,0,11,0,8,8.548885638148727,19,142114.15789473685,418079.0,4070.0
Yes,880,4523.0,0,0,0,0,0,131023,0,0,13,21,2,0,6,2,8,8.41715183723601,15,163856.33333333334,472626.0,4439.0
No,1243,5316.0,2,0,0,0,0,3247,1,0,3,22,5,0,2,5,8,8.57866451350434,15,157772.26666666666,457985.0,4886.0
Yes,492,6438.0,2,0,0,0,0,124355,4,0,3,11,5,0,16,5,8,8.770128527538184,20,74172.2,449536.0,3359.0
Yes,1669,12439.0,2,0,0,0,0,190722,4,0,5,2,6,0,3,6,8,9.42867236629317,14,160815.64285714287,465278.0,2389.0
No,500,42096.0,0,0,0,0,0,66225,4,0,12,20,6,0,3,6,8,10.647731758224072,14,125899.14285714286,340745.0,6046.0
Yes,648,5347.0,0,0,0,0,0,130481,4,1,18,19,0,0,4,0,8,8.584477938221834,20,150019.25,472743.0,4039.0
No,2880,190257.0,2,0,0,0,0,85154,5,0,7,6,4,1,1,4,8,12.156136324774156,20,142434.3,347712.0,3373.0
Yes,1846,6066.0,2,0,0,0,0,167345,5,1,12,16,0,0,18,0,8,8.710619527942297,19,111983.0,473053.0,1785.0
Yes,2687,180326.0,0,0,0,0,0,119846,0,0,2,19,4,1,22,4,8,12.102527148395907,13,97313.30769230769,374580.0,3753.0
Yes,711,4916.0,0,0,0,0,0,67935,2,0,16,18,3,0,14,3,8,8.50045386741194,21,209797.61904761905,436163.0,387.0
Yes,1171,7296.0,0,0,0,0,0,57386,3,0,2,17,2,0,13,2,8,8.89521858376562,22,120906.36363636363,493715.0,2536.0
Yes,1094,290970.0,0,0,0,0,0,67303,5,0,8,19,0,1,4,0,8,12.580978884830216,21,137853.85714285713,482049.0,3074.0
No,2600,6807.0,2,0,0,0,0,32051,5,0,1,6,6,0,3,6,8,8.82585367025321,20,138406.85,459994.0,3110.0
Yes,459,162442.0,0,1,0,0,0,116716,5,0,14,6,5,1,9,5,8,11.998082449987244,17,109835.76470588235,482217.0,6571.0
Yes,749,3325.0,3,1,0,0,0,11894,2,0,10,15,6,0,3,6,8,8.109525659752872,17,129081.64705882352,495190.0,2767.0
Yes,2850,5498.0,0,0,0,0,0,69592,2,0,13,13,0,0,4,0,8,8.612321536507814,19,103936.8947368421,431557.0,2184.0
Yes,486,7056.0,3,0,0,0,0,4390,0,0,10,17,0,0,25,0,8,8.86177531100083,12,127764.58333333333,393147.0,4242.0
No,624,12421.0,3,0,0,0,0,42106,5,0,13,19,2,0,13,2,8,9.427224373119248,16,145863.1875,406527.0,4083.0
Yes,2773,136331.0,3,0,0,0,0,87813,3,0,13,1,1,1,19,1,8,11.822848366357904,12,97332.5,272659.0,3628.0
Yes,2333,10160.0,0,0,0,0,0,142199,4,1,1,17,6,0,10,6,8,9.22631214148588,13,89615.15384615384,422134.0,6465.0
No,2622,4688.0,2,0,0,0,0,9292,5,0,5,20,2,0,6,2,8,8.452974619089586,15,133495.73333333334,468866.0,3985.0
Yes,665,14948.0,2,0,0,0,0,174573,0,0,16,17,3,0,21,3,8,9.612399686949514,12,127764.58333333333,393147.0,4242.0
Yes,598,7265.0,0,0,0,0,0,155469,0,0,6,7,4,0,1,4,8,8.890961212781146,13,105959.15384615384,368881.0,127.0
Yes,2206,5637.0,0,0,0,0,0,68648,3,0,4,14,5,0,9,5,8,8.637284671674058,11,166752.81818181818,431247.0,5637.0
Yes,151,14898.0,0,0,0,0,0,124743,1,0,10,15,6,0,3,6,8,9.60904937558734,16,198697.4375,461920.0,5661.0
Yes,1645,5804.0,0,0,0,0,0,120674,0,0,11,5,6,0,10,6,8,8.666474894131992,19,134633.73684210525,461184.0,3126.0
No,1596,9134.0,0,0,0,0,0,155055,2,0,2,22,6,0,17,6,8,9.119868468812108,17,74183.5294117647,413943.0,4918.0
No,391,2865.0,0,0,0,0,0,124858,2,0,9,18,4,0,15,4,8,7.960672608388117,18,118770.66666666667,478370.0,2865.0
Yes,93,199623.0,3,0,0,0,0,49055,4,0,14,5,6,1,17,6,8,12.204190876112156,11,174693.27272727274,429377.0,9592.0
No,1177,8878.0,3,0,0,0,0,17659,0,1,2,20,2,0,20,2,8,9.091444217032327,18,148316.22222222222,464457.0,3031.0
Yes,1205,147306.0,3,1,0,0,0,111010,4,0,5,19,0,1,11,0,8,11.9002741233854,11,105601.90909090909,274207.0,5454.0
Yes,802,12726.0,3,0,0,0,0,107030,0,1,12,7,1,0,12,1,8,9.451480999992047,13,153358.3076923077,445080.0,8318.0
Yes,478,113523.0,0,0,0,0,0,80577,3,0,1,2,3,1,14,3,8,11.639769547294895,15,106452.4,470387.0,1056.0
Yes,1184,16143.0,2,0,0,0,0,36420,5,1,19,10,2,0,20,2,8,9.68930374259339,12,120739.33333333333,433472.0,4363.0
Yes,1340,8264.0,2,0,0,0,0,198693,0,0,12,8,2,0,13,2,8,9.019785010255125,10,127192.3,419980.0,1712.0
Yes,2662,3935.0,3,0,0,0,0,19957,1,0,12,0,3,0,14,3,8,8.277920258172143,19,177974.7894736842,492458.0,2709.0
Yes,2998,11163.0,3,0,0,0,0,198129,2,0,5,12,3,0,21,3,8,9.320449594656212,13,101386.30769230769,455034.0,2773.0
Yes,2378,9180.0,1,0,0,0,0,79453,3,0,2,1,1,0,19,1,8,9.1248914101437,12,208983.25,421510.0,7405.0
Yes,662,11904.0,0,0,0,0,0,53495,5,0,14,15,2,0,13,2,8,9.384713758920963,16,157260.8125,457602.0,741.0
Yes,1472,16214.0,1,0,0,0,0,172329,5,0,17,21,3,0,7,3,8,9.693692018741418,19,177974.7894736842,492458.0,2709.0
Yes,520,71155.0,0,0,0,0,0,10192,2,0,15,1,5,1,23,5,8,11.17262992884516,12,141465.08333333334,377846.0,4531.0
Yes,2069,11108.0,1,0,0,0,0,177330,5,0,17,1,1,0,5,1,8,9.315510869581722,21,128091.80952380953,451582.0,3515.0
Yes,1562,11995.0,1,0,0,0,0,197269,4,0,2,17,3,0,7,3,8,9.392328539868899,13,144470.38461538462,450857.0,4199.0
Yes,1639,23769.0,0,0,0,0,0,37565,3,0,8,16,0,0,25,0,8,10.07617956035424,14,119477.5,325060.0,5593.0
Yes,505,7286.0,0,0,0,0,0,99799,1,0,10,23,5,0,9,5,8,8.893847217670283,12,84182.75,301751.0,3268.0
Yes,1854,7302.0,2,0,0,0,0,164178,2,0,3,7,2,0,20,2,8,8.89604050162011,16,98312.4375,491072.0,2264.0
Yes,2737,5926.0,0,0,0,0,0,12034,0,0,11,19,4,0,22,4,8,8.687273461787838,16,131038.6875,482550.0,1054.0
Yes,790,4549.0,0,0,0,0,0,40897,0,0,9,21,1,0,19,1,8,8.422882511944996,26,123573.46153846153,318161.0,3349.0
Yes,817,9287.0,0,0,0,0,0,91887,0,0,15,15,6,0,24,6,8,9.136478523377727,14,94067.35714285714,275051.0,3258.0
Yes,982,11106.0,0,0,0,0,0,1516,3,0,11,16,5,0,9,5,8,9.31533081916712,10,57386.8,488217.0,2926.0
Yes,1037,182977.0,3,1,0,0,0,56091,1,0,3,20,1,1,12,1,8,12.11712120601749,17,148431.23529411765,383766.0,3655.0
Yes,227,4506.0,1,0,0,0,0,23747,5,0,7,17,4,0,15,4,8,8.413387022690648,17,121379.82352941176,497617.0,2386.0
Yes,2175,6119.0,3,0,0,0,0,24800,1,0,7,12,2,0,6,2,8,8.719317375506371,14,133664.07142857142,494567.0,4162.0
Yes,2361,2431.0,1,0,0,0,0,83298,1,0,4,5,3,0,14,3,8,7.796469243086058,13,206745.3076923077,490632.0,2431.0
Yes,1164,7118.0,0,0,0,0,0,9768,2,0,6,16,1,0,5,1,8,8.870522545103873,20,130299.4,451049.0,5220.0
Yes,1464,5805.0,0,0,0,0,0,87307,3,0,19,6,0,0,25,0,8,8.666647144584575,16,175837.4375,490032.0,3661.0
Yes,1653,17510.0,0,0,0,0,0,12685,0,0,14,0,4,0,15,4,8,9.7705845338719,19,190763.42105263157,424618.0,7058.0
No,12,7872.0,0,0,0,0,0,195276,2,0,4,18,2,0,13,2,8,8.971194463184467,15,157772.26666666666,457985.0,4886.0
Yes,1244,17962.0,0,0,0,0,0,170671,5,0,19,14,4,0,1,4,8,9.796069365768835,16,69066.3125,351964.0,1225.0
Yes,1376,2943.0,0,0,0,0,0,140143,1,0,19,16,2,0,6,2,8,7.987524479848767,19,157819.1052631579,481956.0,2943.0
Yes,2482,3275.0,3,0,0,0,0,38544,0,0,17,8,5,0,9,5,8,8.09437844497296,20,125683.15,498758.0,2467.0
Yes,2945,15935.0,0,0,0,0,0,51714,3,0,19,13,6,0,17,6,8,9.67633597982438,21,175139.42857142858,496879.0,4390.0
Yes,392,3622.0,3,0,0,0,0,192800,4,0,12,22,5,0,2,5,8,8.195057690895077,15,114520.73333333334,454494.0,1710.0
Yes,1546,9152.0,3,0,0,0,0,115252,1,0,17,14,1,0,12,1,8,9.121836973384779,16,170092.5625,498651.0,5210.0
Yes,60,295368.0,0,0,0,0,0,49484,1,0,15,16,3,1,14,3,8,12.595980701121658,20,213912.55,490492.0,2687.0
Yes,915,9755.0,0,0,0,0,0,41274,1,1,9,3,3,0,14,3,8,9.18563775933581,15,131168.0,370284.0,4606.0
Yes,2300,8927.0,3,0,0,0,0,3068,1,1,16,15,5,0,2,5,8,9.096947684621092,12,156548.83333333334,425846.0,1354.0
Yes,2221,2975.0,0,0,0,0,0,120651,0,0,18,2,0,0,4,0,8,7.998335395952982,18,132669.11111111112,498363.0,2975.0
Yes,1494,9944.0,0,0,0,0,0,194164,3,0,18,0,5,0,16,5,8,9.204825191288073,11,137683.72727272726,397614.0,4865.0
Yes,1669,11256.0,1,0,0,0,0,199135,2,0,4,11,3,0,7,3,8,9.328745436354804,16,203325.8125,429191.0,4364.0
Yes,621,71680.0,1,0,0,0,0,134267,0,0,4,12,0,1,4,0,8,11.179980998444357,14,166484.7142857143,471066.0,5198.0
Yes,1407,9688.0,3,0,0,0,0,124875,3,0,1,8,3,0,21,3,8,9.178746500385005,14,145607.57142857142,497285.0,2680.0
No,219,31541.0,0,1,0,0,0,179762,2,0,5,20,0,0,18,0,8,10.359075270047503,15,69778.26666666666,419183.0,1149.0
Yes,670,10896.0,1,0,0,0,0,136830,1,1,12,13,4,0,8,4,8,9.296242800976886,13,100136.61538461539,487187.0,2719.0
Yes,2723,282778.0,3,0,0,0,0,40004,3,0,14,22,4,1,15,4,8,12.552420952821594,14,113524.21428571429,359579.0,1660.0
Yes,732,21880.0,2,0,0,0,0,164731,1,0,10,14,6,0,24,6,8,9.99337395933065,13,179892.0,467713.0,2342.0
Yes,570,7732.0,0,0,0,0,0,14486,3,0,18,9,3,0,14,3,8,8.953252164609035,13,105959.15384615384,368881.0,127.0
No,2919,6016.0,0,0,0,0,0,62358,5,0,10,5,0,0,11,0,8,8.702344075220351,23,111863.17391304347,420224.0,3595.0
Yes,1771,17738.0,1,0,0,0,0,129812,4,0,16,5,6,0,10,6,8,9.78352088448894,15,123594.0,435397.0,4647.0
Yes,1206,28044.0,2,0,0,0,0,13166,1,0,6,14,2,0,6,2,8,10.241565641942437,17,74183.5294117647,413943.0,4918.0
Yes,2832,11674.0,0,0,0,0,0,39160,1,0,3,1,6,0,10,6,8,9.365205082537098,14,153263.2857142857,471927.0,6269.0
Yes,626,9692.0,2,0,0,0,0,135133,1,0,15,0,5,0,16,5,8,9.179159254492609,15,167299.26666666666,483894.0,1113.0
Yes,535,181337.0,3,0,0,0,0,27354,5,0,5,17,6,1,24,6,8,12.108117972132941,16,125763.625,417570.0,991.0
Yes,2948,19526.0,3,0,0,0,0,65005,0,0,6,16,0,0,18,0,8,9.879553402240496,19,178977.8947368421,454364.0,5904.0
Yes,2237,9034.0,1,0,0,0,0,104988,2,0,12,6,1,0,19,1,8,9.10886120302633,14,125869.71428571429,493709.0,4963.0
Yes,71,5219.0,3,0,0,0,0,183823,1,0,1,17,2,0,6,2,8,8.560252680876685,13,171420.46153846153,497934.0,5219.0
Yes,1753,7301.0,0,0,0,0,0,23162,1,0,10,22,2,0,6,2,8,8.895903562215581,12,83951.08333333333,282846.0,2967.0
Yes,2102,8548.0,0,0,0,0,0,8892,0,0,3,5,6,0,3,6,8,9.053569596026234,19,161057.31578947368,465236.0,6744.0
No,1741,16998.0,0,1,0,0,0,31035,0,0,5,12,4,0,15,4,8,9.74090979777877,16,119883.3125,339657.0,5123.0
Yes,30,9454.0,1,0,0,0,0,114069,4,0,15,17,1,0,19,1,8,9.154298981092557,23,108736.0,423717.0,2443.0
Yes,1044,5438.0,1,0,0,0,0,52756,3,0,4,5,6,0,10,6,8,8.60135049942296,12,82187.75,289848.0,5438.0
Yes,1330,5265.0,0,0,0,0,0,89635,1,1,19,23,5,0,16,5,8,8.569026340056254,18,82185.83333333333,490033.0,155.0
Yes,1120,14686.0,2,0,0,0,0,127978,3,0,17,2,1,0,5,1,8,9.594718027753862,17,143164.9411764706,486106.0,3659.0
Yes,2439,211389.0,3,0,0,0,0,35722,0,0,8,5,4,1,22,4,8,12.26146004760973,13,200699.07692307694,454214.0,3315.0
Yes,2159,25541.0,1,0,0,0,0,77873,0,0,5,6,4,0,8,4,8,10.148079435056207,18,107263.05555555556,436901.0,3074.0
Yes,2691,17085.0,0,0,0,0,0,124184,4,0,4,15,5,0,2,5,8,9.746014693711563,20,143594.05,425128.0,3488.0
Yes,1518,7095.0,1,0,0,0,0,194907,2,0,19,7,5,0,9,5,8,8.867286523989415,15,103494.46666666666,413940.0,3681.0
Yes,2036,11983.0,2,0,0,0,0,11465,5,0,9,18,5,0,23,5,8,9.391327705757,8,128020.25,384817.0,1540.0
Yes,923,67492.0,3,0,0,0,0,25038,5,0,13,7,0,1,4,0,8,11.119779167779317,19,133851.68421052632,353986.0,1740.0
Yes,1344,5274.0,0,0,0,0,0,108566,5,0,17,19,2,0,6,2,8,8.570733958344267,17,132424.82352941178,499832.0,2516.0
Yes,1097,23975.0,0,0,0,0,0,113752,0,0,8,23,2,0,13,2,8,10.084808608996498,16,150787.875,478325.0,3316.0
No,1330,7378.0,1,1,0,0,0,139682,1,0,19,23,4,0,15,4,8,8.906393407058367,14,178375.0,480083.0,6661.0
Yes,1669,4855.0,3,0,0,0,0,158838,4,0,11,10,0,0,11,0,8,8.487970332739334,22,168604.4090909091,488761.0,4855.0
Yes,320,3636.0,3,0,0,0,0,184564,2,1,14,4,3,0,21,3,8,8.19891444498699,13,124998.61538461539,485736.0,3314.0
Yes,1793,15227.0,3,0,0,0,0,99306,5,0,18,8,4,0,1,4,8,9.630891117502388,21,136955.42857142858,427235.0,3884.0
Yes,224,14821.0,0,0,0,0,0,138482,4,1,5,3,4,0,15,4,8,9.603867842511304,18,143478.0,473536.0,5778.0
Yes,1670,13969.0,1,0,0,0,0,111489,0,0,12,3,1,0,12,1,8,9.544667452251007,20,74172.2,449536.0,3359.0
Yes,2080,9528.0,1,0,0,0,0,91482,5,0,16,21,0,0,11,0,8,9.162095059348188,20,105850.05,462480.0,4091.0
Yes,1094,54692.0,3,0,0,0,0,122126,2,0,16,19,5,1,16,5,8,10.909491009471575,23,122969.56521739131,446669.0,1783.0
Yes,2766,250746.0,3,1,0,0,0,119676,3,0,14,17,6,1,3,6,8,12.432199741644935,14,133967.85714285713,389682.0,2884.0
Yes,1269,6238.0,3,0,0,0,0,131778,2,0,7,8,4,0,15,4,8,8.738575192110787,24,157827.75,468492.0,3609.0
Yes,2230,5092.0,3,0,0,0,0,122909,1,0,9,2,0,0,18,0,8,8.535622326884605,16,205615.625,476552.0,2696.0
No,2957,5803.0,1,0,0,0,0,23919,5,0,3,7,2,0,20,2,8,8.666302614004078,12,93676.41666666667,426967.0,5482.0
Yes,93,13251.0,0,0,0,0,0,182208,5,0,14,8,3,0,14,3,8,9.491903763419787,26,149539.53846153847,461205.0,2706.0
No,2038,13905.0,0,0,0,0,0,50515,3,0,1,5,4,0,1,4,8,9.540075680658964,10,204483.7,435531.0,8395.0
Yes,779,220769.0,0,0,0,0,0,122596,3,0,14,6,1,1,5,1,8,12.304876714588755,20,149335.4,477913.0,8182.0
Yes,1368,17004.0,0,0,0,0,0,107559,5,0,18,18,1,0,19,1,8,9.741262697441297,15,158059.46666666667,417575.0,7886.0
Yes,2964,4939.0,0,0,0,0,0,185840,1,1,3,9,6,0,10,6,8,8.505120610181969,25,115672.96,495009.0,3124.0
Yes,1073,214332.0,3,0,0,0,0,111187,3,0,6,3,0,1,18,0,8,12.275286159340483,14,129884.07142857143,422598.0,4117.0
Yes,2707,15175.0,0,0,0,0,0,88439,0,0,4,19,2,0,6,2,8,9.62747051161485,14,161663.7142857143,483346.0,4728.0
Yes,1391,11856.0,1,0,0,0,0,149713,5,0,1,21,5,0,16,5,8,9.380673689458071,12,84178.83333333333,400194.0,5869.0
Yes,1870,9926.0,0,0,0,0,0,106378,2,0,3,7,1,0,5,1,8,9.203013596589722,14,173986.7142857143,471236.0,9215.0
Yes,861,6685.0,2,0,0,0,0,187616,2,0,18,12,5,0,2,5,8,8.807771066980044,21,88640.28571428571,473745.0,3125.0
Yes,1212,14779.0,3,0,0,0,0,198786,1,0,3,5,4,0,8,4,8,9.601030194502194,16,132284.0625,472901.0,5296.0
Yes,2304,10358.0,0,0,0,0,0,165399,0,0,16,6,3,0,21,3,8,9.245610986058102,18,163958.61111111112,497855.0,3556.0
Yes,2235,16827.0,0,0,0,0,0,187392,3,0,7,0,6,0,3,6,8,9.730799444710412,8,101364.875,427774.0,3774.0
Yes,712,6612.0,3,0,0,0,0,63123,5,0,9,15,0,0,11,0,8,8.796792687674662,13,144470.38461538462,450857.0,4199.0
Yes,791,8666.0,0,0,0,0,0,75950,2,0,2,9,4,0,15,4,8,9.067277989134345,14,157295.07142857142,450377.0,3571.0
Yes,1858,10606.0,3,0,0,0,0,93926,2,0,3,21,1,0,5,1,8,9.26926943950547,16,198171.5,484615.0,8106.0
Yes,265,8062.0,0,0,0,0,0,118345,2,0,1,20,6,0,10,6,8,8.995040974685022,18,160713.22222222222,494937.0,2363.0
Yes,851,4667.0,1,0,0,0,0,153871,2,0,6,3,2,0,20,2,8,8.448485993406447,11,125177.36363636363,387339.0,1267.0
Yes,2603,88718.0,0,0,0,0,0,44085,4,0,15,8,6,1,10,6,8,11.393229350545036,12,171830.75,460181.0,1768.0
Yes,2130,16228.0,3,0,0,0,0,109725,1,0,5,2,3,0,14,3,8,9.694555044315882,11,162496.18181818182,381831.0,3381.0
Yes,148,4178.0,0,0,0,0,0,64544,3,0,13,11,6,0,3,6,8,8.337827262447915,19,111983.0,473053.0,1785.0
Yes,273,12568.0,3,0,0,0,0,174129,5,0,8,6,0,0,18,0,8,9.438988743924838,22,192631.04545454544,491344.0,5398.0
Yes,1954,16039.0,2,0,0,0,0,180652,5,0,13,18,5,0,23,5,8,9.682840881420505,13,97940.92307692308,377212.0,5277.0
Yes,488,3275.0,3,0,0,0,0,110056,5,0,19,16,6,0,17,6,8,8.09437844497296,18,215515.22222222222,499554.0,2617.0
Yes,2435,57077.0,0,0,0,0,0,3193,3,0,9,14,4,1,1,4,8,10.952174032434511,22,134187.68181818182,443268.0,455.0
Yes,816,238078.0,0,0,0,0,0,95759,1,0,3,13,4,1,15,4,8,12.380357830349226,15,163856.33333333334,472626.0,4439.0
Yes,2397,7353.0,3,0,0,0,0,26439,0,0,14,19,1,0,5,1,8,8.902999661861218,16,152822.25,495901.0,4279.0
Yes,1490,6953.0,0,0,0,0,0,180497,1,0,7,23,3,0,14,3,8,8.847072312567807,19,205624.94736842104,482446.0,4733.0
Yes,201,22150.0,3,0,0,0,0,174513,2,0,13,12,4,0,8,4,8,10.00563792118106,19,129976.26315789473,412590.0,4976.0
No,518,15951.0,0,0,0,0,0,153406,2,1,9,7,5,0,9,5,8,9.67733949220162,14,161663.7142857143,483346.0,4728.0
Yes,296,6251.0,0,0,0,0,0,18547,1,0,11,7,1,0,12,1,8,8.740656691541368,14,129884.07142857143,422598.0,4117.0
Yes,2840,5391.0,2,0,0,0,0,26605,1,0,9,9,5,0,2,5,8,8.592671652592143,10,95166.2,355880.0,4067.0
Yes,647,44200.0,0,0,0,0,0,76266,3,0,11,10,6,0,3,6,8,10.69650269224425,9,98668.66666666667,394126.0,3335.0
Yes,1637,6924.0,1,0,0,0,0,147279,3,0,14,21,5,0,16,5,8,8.842893331055539,15,222313.66666666666,491792.0,4299.0
Yes,2813,2790.0,0,0,0,0,0,153548,4,0,15,15,3,0,21,3,8,7.934155233536322,15,177350.2,459403.0,2027.0
Yes,2738,14044.0,0,0,0,0,0,44762,5,0,17,15,0,0,11,0,8,9.550021739538344,13,105959.15384615384,368881.0,127.0
Yes,593,240547.0,0,0,0,0,0,125617,4,0,1,7,0,1,11,0,8,12.39067493281326,12,203335.41666666666,448015.0,3951.0
Yes,554,3622.0,0,0,0,0,0,24276,5,0,3,0,1,0,12,1,8,8.195057690895077,10,69780.3,412379.0,3205.0
No,2919,4711.0,1,0,0,0,0,161652,2,1,3,20,6,0,17,6,8,8.457867725331422,11,117791.54545454546,378791.0,4711.0
Yes,1829,169114.0,3,0,0,0,0,128876,4,1,3,12,1,1,12,1,8,12.038334235860962,14,115076.57142857143,454354.0,3379.0
Yes,2187,8286.0,2,0,0,0,0,198414,4,0,4,14,1,0,19,1,8,9.022443300849043,23,124468.43478260869,477963.0,3910.0
Yes,2242,12027.0,1,0,0,0,0,192945,0,0,17,6,0,0,18,0,8,9.394992544108419,24,183487.875,492218.0,5651.0
Yes,992,16410.0,3,0,0,0,0,138348,1,0,4,5,5,0,23,5,8,9.705707120679628,15,162998.46666666667,457613.0,1338.0
Yes,2994,6519.0,3,0,0,0,0,93287,3,0,13,2,1,0,12,1,8,8.782629654920699,19,128574.78947368421,355731.0,5686.0
Yes,2746,208729.0,0,0,0,0,0,128448,4,0,7,20,0,1,25,0,8,12.248796829739952,15,133495.73333333334,468866.0,3985.0
Yes,302,5425.0,0,0,0,0,0,55516,3,0,4,11,6,0,17,6,8,8.598957493218878,17,125905.82352941176,447581.0,5425.0
Yes,1631,8735.0,1,0,0,0,0,141046,5,0,8,13,1,0,19,1,8,9.075207697984686,14,156517.57142857142,428824.0,4599.0
Yes,2008,4133.0,0,0,0,0,0,189625,4,1,11,18,5,0,2,5,8,8.327000740241713,16,174213.875,449594.0,4133.0
Yes,2671,3488.0,3,0,0,0,0,22459,5,0,19,7,0,0,11,0,8,8.157370441186774,20,143594.05,425128.0,3488.0
Yes,730,20389.0,2,0,0,0,0,137102,4,0,7,16,5,0,23,5,8,9.922799863568502,11,113812.09090909091,440765.0,4411.0
Yes,507,15459.0,2,0,0,0,0,119601,2,0,9,9,0,0,18,0,8,9.646011322141414,17,138179.29411764705,445716.0,3365.0
